자치구,법정동,사업구분,진행단계,상태
용산구,한강로2가,재개발(도시정비형),사업시행인가,운영
서초구,반포동,재건축,착공신고,운영
영등포구,문래동,재개발(도시정비형),정비구역지정,운영
강동구,천호동,재개발(도시정비형),일반분양승인,운영
구로구,궁동,소규모재건축,조합설립인가,운영
강남구,일원동,재건축,관리처분인가,운영
강동구,둔촌동,재건축,준공인가,운영
구로구,구로동,가로주택정비,조합해산,운영
용산구,이촌동,재건축,조합설립추진위원회승인,운영
서초구,서초동,재건축,조합청산,운영
서초구,방배동,재건축,철거신고,운영
송파구,문정동,재건축,착공신고,운영
동작구,흑석동,재개발(도시정비형),조합설립추진위원회승인,운영
광진구,화양동,재건축,이전고시,운영
구로구,개봉동,재건축,착공신고,운영
은평구,수색동,재개발(주택정비형),착공신고,운영
광진구,화양동,재건축,이전고시,운영
동작구,노량진동,재개발(주택정비형),관리처분인가,운영
동작구,노량진동,재개발(주택정비형),관리처분인가,운영
서대문구,홍제동,재개발(도시정비형),조합설립인가,운영
강남구,개포동,재건축,준공인가,운영
강남구,대치동,재건축,조합설립인가,운영
서초구,방배동,재건축,착공신고,운영
서대문구,홍제동,재개발(도시정비형),조합설립추진위원회승인,운영
은평구,수색동,재개발(주택정비형),착공신고,운영
중랑구,면목동,가로주택정비,조합설립인가,운영
노원구,월계동,재개발(주택정비형),조합청산,운영
노원구,공릉동,재건축,이전고시,운영
도봉구,도봉동,재개발(주택정비형),관리처분인가,운영
강동구,암사동,가로주택정비,조합설립인가,운영
동작구,상도동,지역주택,조합설립인가,운영
성북구,길음동,재개발(도시정비형),조합설립인가,운영
중랑구,중화동,가로주택정비,관리처분인가,운영
양천구,신정동,재건축,조합설립인가,운영
강남구,압구정동,재건축,조합설립인가,운영
성북구,정릉동,재건축,사업시행인가,운영
송파구,잠실동,재건축,사업시행인가,운영
은평구,수색동,재개발(주택정비형),이전고시,운영
서초구,잠원동,재건축,조합설립인가,운영
마포구,창전동,재건축,조합해산,운영
용산구,한강로2가,재개발(도시정비형),사업시행인가,운영
서초구,방배동,재건축,조합청산,운영
서대문구,홍은동,재건축,준공인가,운영
마포구,아현동,재건축,일반분양승인,운영
동대문구,용두동,재개발(주택정비형),이전고시,운영
서초구,방배동,재건축,조합설립인가,운영
동대문구,답십리동,재개발(주택정비형),이전고시,운영
마포구,공덕동,재개발(주택정비형),조합설립인가,운영
성동구,옥수동,재건축,사업시행인가,운영
용산구,서계동,재개발(주택정비형),정비계획 수립,운영
영등포구,영등포동,재개발(도시정비형),조합설립인가,운영
영등포구,문래동,재개발(도시정비형),정비구역지정,운영
영등포구,신길동,재개발(주택정비형),조합청산,운영
성북구,동소문동,재개발(주택정비형),조합설립인가,운영
영등포구,영등포동,재개발(도시정비형),조합설립인가,운영
영등포구,신길동,재개발(주택정비형),조합해산,운영
영등포구,문래동,재건축,관리처분인가,운영
강서구,공항동,재건축,사업시행인가,운영
구로구,오류동,재건축,관리처분인가,운영
서초구,잠원동,재건축,조합설립인가,운영
성북구,장위동,재개발(주택정비형),조합해산,운영
서초구,방배동,재건축,조합해산,운영
동작구,상도동,지역주택,조합설립인가,운영
강동구,성내동,가로주택정비,조합설립인가,운영
은평구,신사동,소규모재건축,조합설립인가,운영
강남구,대치동,재건축,사업시행인가,운영
송파구,신천동,재건축,조합설립인가,운영
종로구,사직동,재개발(도시정비형),사업시행인가,운영
서대문구,남가좌동,재개발(주택정비형),조합해산,운영
서대문구,홍은동,재개발(주택정비형),조합해산,운영
영등포구,문래동,재개발(도시정비형),조합설립인가,운영
금천구,가산동,재건축,조합설립추진위원회승인,운영
강서구,등촌동,재건축,관리처분인가,운영
성북구,하월곡동,재개발(도시정비형),관리처분인가,운영
성북구,장위동,재개발(주택정비형),착공신고,운영
성북구,정릉동,재개발(주택정비형),관리처분인가,운영
강서구,방화동,재건축,관리처분인가,운영
영등포구,신길동,재개발(주택정비형),조합해산,운영
성북구,석관동,가로주택정비,조합설립인가,운영
광진구,중곡동,재건축,정비계획 수립,운영
용산구,이촌동,리모델링,조합설립인가,운영
용산구,이촌동,리모델링,조합설립인가,운영
강남구,대치동,재건축,사업시행인가,운영
용산구,이촌동,리모델링,조합설립인가,운영
관악구,신림동,재개발(주택정비형),관리처분인가,운영
관악구,신림동,지역주택,조합설립인가,운영
서대문구,북아현동,재개발(주택정비형),조합청산,운영
종로구,교남동,재개발(도시정비형),조합해산,운영
구로구,궁동,소규모재건축,조합설립인가,운영
중랑구,상봉동,재개발(도시정비형),사업시행인가,운영
영등포구,여의도동,재건축,안전진단,운영
성북구,석관동,재개발(주택정비형),조합해산,운영
성동구,성수동,재건축,관리처분인가,운영
영등포구,여의도동,재건축,조합설립인가,운영
송파구,가락동,재건축,조합설립인가,운영
강동구,명일동,재건축,조합청산,운영
성북구,장위동,재개발(주택정비형),조합해산,운영
강북구,번동,가로주택정비,조합설립인가,운영
동작구,사당동,소규모재건축,조합설립인가,운영
영등포구,여의도동,재건축,조합설립추진위원회승인,운영
성북구,하월곡동,가로주택정비,조합설립인가,운영
서초구,방배동,가로주택정비,조합설립인가,운영
영등포구,대림동,지역주택,조합설립인가,운영
강남구,도곡동,재건축,조합설립인가,운영
은평구,응암동,재개발(주택정비형),정비계획 수립,운영
강남구,일원동,재건축,조합설립인가,운영
마포구,망원동,재건축,조합해산,운영
서대문구,홍은동,재건축,조합설립인가,운영
강남구,역삼동,재건축,조합해산,운영
서초구,반포동,재건축,조합설립추진위원회승인,운영
서초구,잠원동,재건축,착공신고,운영
용산구,원효로4가,재건축,사업시행인가,운영
강동구,길동,재건축,착공신고,운영
동대문구,제기동,재개발(주택정비형),관리처분인가,운영
용산구,이촌동,재건축,사업시행인가,운영
서초구,서초동,재건축,이전고시,운영
동작구,사당동,재건축,착공신고,운영
영등포구,신길동,재개발(주택정비형),조합청산,운영
성동구,용답동,재개발(도시정비형),조합설립인가,운영
강남구,역삼동,재건축,관리처분인가,운영
서초구,방배동,재건축,조합설립인가,운영
용산구,효창동,재개발(주택정비형),조합청산,운영
성동구,금호동,재개발(주택정비형),조합해산,운영
서대문구,홍제동,소규모재건축,조합설립인가,운영
양천구,신월동,재개발(주택정비형),준공인가,운영
강남구,대치동,재건축,준공인가,운영
송파구,마천동,재개발(주택정비형),조합설립인가,운영
양천구,목동,재건축,조합청산,운영
동대문구,이문동,재개발(주택정비형),일반분양승인,운영
마포구,공덕동,재건축,착공신고,운영
강동구,천호동,재건축,조합해산,운영
노원구,월계동,재건축,관리처분인가,운영
마포구,신수동,재건축,조합해산,운영
용산구,이태원동,재건축,조합설립추진위원회승인,운영
광진구,자양동,재건축,조합해산,운영
관악구,신림동,지역주택,조합설립인가,운영
강서구,방화동,가로주택정비,조합설립인가,운영
용산구,이촌동,리모델링,조합설립인가,운영
강북구,미아동,재건축,관리처분인가,운영
영등포구,신길동,재개발(주택정비형),조합해산,운영
강북구,미아동,재개발(주택정비형),착공신고,운영
영등포구,신길동,재건축,조합설립인가,운영
양천구,신정동,재개발(도시정비형),조합설립추진위원회승인,운영
성북구,장위동,재개발(주택정비형),조합설립인가,운영
성북구,정릉동,재개발(주택정비형),조합설립인가,운영
성북구,장위동,가로주택정비,조합설립인가,운영
성북구,정릉동,가로주택정비,조합설립인가,운영
성북구,장위동,가로주택정비,조합설립인가,운영
강북구,미아동,재개발(주택정비형),사업시행인가,운영
강남구,역삼동,재건축,준공인가,운영
동작구,흑석동,재개발(주택정비형),조합해산,운영
송파구,잠실동,재건축,조합설립인가,운영
성북구,장위동,재개발(주택정비형),조합해산,운영
성동구,금호동,재개발(주택정비형),조합청산,운영
성북구,장위동,재개발(주택정비형),관리처분인가,운영
성북구,안암동,재개발(주택정비형),착공신고,운영
용산구,효창동,재개발(주택정비형),조합해산,운영
구로구,고척동,재개발(주택정비형),관리처분인가,운영
용산구,효창동,재개발(주택정비형),조합청산,운영
서초구,반포동,재건축,이전고시,운영
서초구,서초동,재건축,조합해산,운영
용산구,이촌동,재건축,관리처분인가,운영
강동구,길동,재건축,조합청산,운영
동대문구,휘경동,재개발(주택정비형),조합해산,운영
용산구,한강로3가,재개발(도시정비형),준공인가,운영
성동구,응봉동,재건축,사업시행인가,운영
관악구,봉천동,재개발(주택정비형),조합해산,운영
강남구,일원동,재건축,조합청산,운영
서대문구,충정로3가,재개발(도시정비형),조합설립추진위원회승인,운영
영등포구,영등포동,재개발(도시정비형),관리처분인가,운영
관악구,신림동,재개발(주택정비형),관리처분인가,운영
영등포구,신길동,재개발(주택정비형),조합해산,운영
영등포구,신길동,재개발(주택정비형),조합청산,운영
은평구,수색동,재개발(주택정비형),조합해산,운영
영등포구,신길동,재개발(주택정비형),조합청산,운영
은평구,응암동,재개발(주택정비형),조합청산,운영
서초구,잠원동,재건축,착공신고,운영
동작구,대방동,재개발(주택정비형),관리처분인가,운영
서초구,방배동,재건축,착공신고,운영
서초구,서초동,재건축,조합해산,운영
강남구,압구정동,재건축,조합설립인가,운영
은평구,응암동,재건축,조합청산,운영
성동구,용답동,재개발(주택정비형),관리처분인가,운영
구로구,오류동,소규모재건축,조합설립인가,운영
영등포구,영등포동,재개발(도시정비형),정비구역지정,일시중단
관악구,봉천동,재개발(주택정비형),조합설립인가,운영
송파구,거여동,리모델링,조합설립인가,운영
송파구,오금동,리모델링,조합설립인가,운영
송파구,문정동,리모델링,조합설립인가,운영
송파구,풍납동,리모델링,조합설립인가,운영
동작구,사당동,지역주택,조합설립인가,운영
동작구,사당동,지역주택,조합설립인가,운영
중랑구,면목동,가로주택정비,조합설립인가,운영
영등포구,양평동,재개발(도시정비형),조합설립추진위원회승인,운영
은평구,응암동,재건축,조합해산,운영
구로구,구로동,지역주택,조합설립인가,운영
강동구,천호동,재개발(주택정비형),정비계획 수립,운영
성북구,장위동,재개발(주택정비형),정비계획 수립,운영
성북구,장위동,재개발(주택정비형),정비구역지정,운영
